Provinsi,Tahun,Produksi
,2018,
ACEH,2018,18615671.0
SUMATERA UTARA,2018,210828472.0
SUMATERA BARAT,2018,148307648.0
RIAU,2018,26637553.0
JAMBI,2018,38304574.0
SUMATERA SELATAN,2018,299419184.0
BENGKULU,2018,28881052.0
LAMPUNG,2018,248864191.0
KEP. BANGKA BELITUNG,2018,4572469.0
KEP. RIAU,2018,1097.0
DKI JAKARTA,2018,489914.0
JAWA BARAT,2018,964735875.0
JAWA TENGAH,2018,1049958823.0
DI YOGYAKARTA,2018,51493549.0
JAWA TIMUR,2018,1020321317.0
BANTEN,2018,16877833.0
BALI,2018,66706906.0
NUSA TENGGARA BARAT,2018,146033881.0
NUSA TENGGARA TIMUR,2018,89993588.0
KALIMANTAN BARAT,2018,79971521.0
KALIMANTAN TENGAH,2018,51476905.0
KALIMANTAN SELATAN,2018,132749241.0
KALIMANTAN TIMUR,2018,26277388.0
KALIMANTAN UTARA,2018,4506353.0
SULAWESI UTARA,2018,32692974.0
SULAWESI TENGAH,2018,92697866.0
SULAWESI SELATAN,2018,595261645.0
SULAWESI TENGGARA,2018,53887614.0
GORONTALO,2018,2695404.0
SULAWESI BARAT,2018,31647837.0
MALUKU,2018,11622886.0
MALUKU UTARA,2018,4904711.0
PAPUA BARAT,2018,2496713.0
PAPUA BARAT DAYA,2018,
PAPUA,2018,22311942.0
PAPUA SELATAN,2018,
PAPUA TENGAH,2018,
PAPUA PEGUNUNGAN,2018,
,2019,
ACEH,2019,17144376.0
SUMATERA UTARA,2019,207890159.0
SUMATERA BARAT,2019,148299601.0
RIAU,2019,23087397.0
JAMBI,2019,30993268.0
SUMATERA SELATAN,2019,260339624.0
BENGKULU,2019,29647207.0
LAMPUNG,2019,216408933.0
KEP. BANGKA BELITUNG,2019,4880568.0
KEP. RIAU,2019,11508.0
DKI JAKARTA,2019,335931.0
JAWA BARAT,2019,908495722.0
JAWA TENGAH,2019,965565398.0
DI YOGYAKARTA,2019,5334774.0
JAWA TIMUR,2019,958093388.0
BANTEN,2019,147050335.0
BALI,2019,57932053.0
NUSA TENGGARA BARAT,2019,140218239.0
NUSA TENGGARA TIMUR,2019,81172418.0
KALIMANTAN BARAT,2019,84787513.0
KALIMANTAN TENGAH,2019,44356133.0
KALIMANTAN SELATAN,2019,134286182.0
KALIMANTAN TIMUR,2019,25381837.0
KALIMANTAN UTARA,2019,3335719.0
SULAWESI UTARA,2019,27777631.0
SULAWESI TENGAH,2019,8449043.0
SULAWESI SELATAN,2019,505416696.0
SULAWESI TENGGARA,2019,51970693.0
GORONTALO,2019,23121111.0
SULAWESI BARAT,2019,30014222.0
MALUKU,2019,9825475.0
MALUKU UTARA,2019,3794564.0
PAPUA BARAT,2019,2994356.0
PAPUA BARAT DAYA,2019,
PAPUA,2019,23533951.0
PAPUA SELATAN,2019,
PAPUA TENGAH,2019,
PAPUA PEGUNUNGAN,2019,
,2020,
ACEH,2020,175731307.0
